step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.2456556914667356,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
1,30,10,40,0.2453347919807747,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
2,40,20,50,0.24216711607766858,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
3,50,30,60,0.23267535809712425,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
4,60,40,70,0.23025955548168897,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
5,70,50,80,0.22449785546720707,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
6,80,60,90,0.22176151367023203,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
7,90,70,100,0.21685055923161117,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
8,100,80,110,0.21490913777687537,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
9,110,90,120,0.21343456028356209,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
10,120,100,130,0.21252716967852014,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
11,130,110,140,0.21048998825656767,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
12,140,120,150,0.20936821350941742,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
13,150,130,160,0.20779485357408398,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
14,160,140,170,0.2067435028642073,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
15,170,150,180,0.20636219722931937,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
16,180,160,190,0.20541505952506867,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
17,190,170,200,0.20540160499844567,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
18,200,180,210,0.20559411574674868,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
19,210,190,220,0.20530504409977973,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
20,220,200,230,0.2052124232883453,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
21,230,210,240,0.20504244034772412,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
22,240,220,250,0.20376725387068453,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
23,250,230,260,0.20297766291054048,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
24,260,240,270,0.20232491466388908,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
25,270,250,280,0.20163420478446237,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
26,280,260,290,0.20022937896127718,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
27,290,270,300,0.19970052040884245,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
28,300,280,310,0.19937591227259938,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
29,310,290,320,0.19842845082713378,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
30,320,300,330,0.19837185183781114,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
31,330,310,340,0.19763087781818786,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
32,340,320,350,0.1974219708399055,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
33,350,330,360,0.19720484521573625,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
34,360,340,370,0.19664905809787459,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
35,370,350,380,0.1962387536586492,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
36,380,360,390,0.19617737883059747,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
37,390,370,400,0.1959660939064141,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
38,400,380,410,0.19568919923008654,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
39,410,390,420,0.19540985698534055,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
40,420,400,430,0.19542612944617335,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
41,430,410,440,0.19526144332663323,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
42,440,420,450,0.19507125100524167,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
43,450,430,460,0.19485412462355653,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
44,460,440,470,0.19435285494831947,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
45,470,450,480,0.1945500430179373,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
46,480,460,490,0.1943270451797208,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
47,490,470,500,0.1941431495057191,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
48,500,480,510,0.19376381629165504,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
49,510,490,520,0.1936593474921718,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
50,520,500,,0.1935410415535294,129,analytic,random,0.0,0.0,0,0.0,0.1826687669470858
