step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26522302304499323,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
1,30,10,40,0.26317750181377114,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
2,40,20,50,0.26339894439091815,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
3,50,30,60,0.267578432937779,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
4,60,40,70,0.2655320425579557,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
5,70,50,80,0.2602449642284169,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
6,80,60,90,0.2565748607710574,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
7,90,70,100,0.2539933504450707,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
8,100,80,110,0.24732516315192232,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
9,110,90,120,0.24535053447185518,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
10,120,100,130,0.24709212169060044,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
11,130,110,140,0.24369365334306,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
12,140,120,150,0.24585204400017197,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
13,150,130,160,0.2468501371973996,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
14,160,140,170,0.24364425791317657,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
15,170,150,180,0.24193840012103288,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
16,180,160,190,0.24027833185248415,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
17,190,170,200,0.23984000404240843,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
18,200,180,210,0.24106323729469825,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
19,210,190,220,0.2398071531525384,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
20,220,200,230,0.23948559374078224,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
21,230,210,240,0.23788543970128773,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
22,240,220,250,0.2352783528510698,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
23,250,230,260,0.2354004649660871,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
24,260,240,270,0.23428001200153098,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
25,270,250,280,0.23452478547053401,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
26,280,260,290,0.23306457620086218,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
27,290,270,300,0.23352634897172203,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
28,300,280,310,0.23483026616313749,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
29,310,290,320,0.23433036033224014,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
30,320,300,330,0.2338647570913048,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
31,330,310,340,0.2338767098915313,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
32,340,320,350,0.2343317772644963,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
33,350,330,360,0.2337905734339229,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
34,360,340,370,0.23430904280258263,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
35,370,350,380,0.23390675100146746,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
36,380,360,390,0.23310998192242863,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
37,390,370,400,0.23349117731257535,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
38,400,380,410,0.23304127811331515,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
39,410,390,420,0.2330196854948633,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
40,420,400,430,0.2323813961599551,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
41,430,410,440,0.23193566002369062,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
42,440,420,450,0.23202768305339128,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
43,450,430,460,0.23191679626673226,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
44,460,440,470,0.2322426436032205,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
45,470,450,480,0.2314460950672424,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
46,480,460,490,0.23133333591310937,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
47,490,470,500,0.23113192720487039,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
48,500,480,510,0.2310252708715001,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
49,510,490,520,0.23000002122961857,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
50,520,500,,0.22920773661339947,129,vi_full,trace,0.0,0.0,0,0.0,0.1903359617106355
