step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26272784940230925,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
1,30,10,40,0.27038241509133876,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
2,40,20,50,0.274034464429773,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
3,50,30,60,0.269250451557769,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
4,60,40,70,0.26269790716655417,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
5,70,50,80,0.260930950516607,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
6,80,60,90,0.2547681045762499,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
7,90,70,100,0.2505607967951591,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
8,100,80,110,0.24541237019619142,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
9,110,90,120,0.24357996874101737,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
10,120,100,130,0.24261555920903444,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
11,130,110,140,0.24441369978097588,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
12,140,120,150,0.2426259036079258,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
13,150,130,160,0.2408997011530421,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
14,160,140,170,0.2425813430744675,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
15,170,150,180,0.24001795383692134,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
16,180,160,190,0.23963332585301025,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
17,190,170,200,0.23868314468074092,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
18,200,180,210,0.23572616777073138,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
19,210,190,220,0.23619203984787462,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
20,220,200,230,0.23593818294603144,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
21,230,210,240,0.23498275368896757,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
22,240,220,250,0.23427587487164572,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
23,250,230,260,0.23405507331341913,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
24,260,240,270,0.23364294005490516,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
25,270,250,280,0.2342511860462237,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
26,280,260,290,0.23355494033792135,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
27,290,270,300,0.23304562572997373,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
28,300,280,310,0.23316596489946811,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
29,310,290,320,0.23172821120266626,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
30,320,300,330,0.23158148749751672,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
31,330,310,340,0.2316112149331558,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
32,340,320,350,0.22854014024482658,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
33,350,330,360,0.22823862752336643,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
34,360,340,370,0.22846746554487796,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
35,370,350,380,0.22825111026222303,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
36,380,360,390,0.22881088030360905,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
37,390,370,400,0.22863208837767612,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
38,400,380,410,0.22919349511520828,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
39,410,390,420,0.22901939396588228,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
40,420,400,430,0.22931026632531631,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
41,430,410,440,0.22867535283057397,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
42,440,420,450,0.2289019624171831,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
43,450,430,460,0.22849410422166805,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
44,460,440,470,0.228443463499451,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
45,470,450,480,0.2290248519538873,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
46,480,460,490,0.2279075911793802,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
47,490,470,500,0.22812791094033188,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
48,500,480,510,0.22788961529172955,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
49,510,490,520,0.22802498877932764,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
50,520,500,,0.2288344810699701,129,vi_full,trace,0.0,0.0,0,0.0,0.18336572275441776
